"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Caffeine|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Caffeine|Concentration in container [µmol/l]","Organism|Lumen|Caffeine|Fraction of oral drug mass absorbed into mucosa"
0,582,0,0,0
0,585,0,0,0
0,588,0,0,0
0,591,0,0,0
0,594,0,0,0
0,597,0,0,0
0,600,0,0,0
0,603,0,0,0
0,606,0,0,0
0,609,0,0,0
0,612,0,0,0
0,615,0,0,0
0,618,0,0,0
0,621,0,0,0
0,624,0,0,0
0,627,0,0,0
0,630,0,0,0
0,633,0,0,0
0,636,0,0,0
0,639,0,0,0
0,642,0,0,0
0,645,0,0,0
0,648,0,0,0
0,651,0,0,0
0,654,0,0,0
0,657,0,0,0
0,660,0,0,0
0,663,0,0,0
0,666,0,0,0
0,669,0,0,0
0,672,0,0,0
0,675,0,0,0
0,678,0,0,0
0,681,0,0,0
0,684,0,0,0
0,687,0,0,0
0,690,0,0,0
0,693,0,0,0
0,696,0,0,0
0,699,0,0,0
0,702,0,0,0
0,705,0,0,0
0,708,0,0,0
0,711,0,0,0
0,714,0,0,0
0,717,0,0,0
0,720,0,0,0
0,723,0,0,0
0,726,0,0,0
0,729,0,0,0
0,732,0,0,0
0,735,0,0,0
0,738,0,0,0
0,741,0,0,0
0,744,0,0,0
0,747,0,0,0
0,750,0,0,0
0,753,0,0,0
0,756,0,0,0
0,759,0,0,0
0,762,0,0,0
0,765,0,0,0
0,768,0,0,0
0,771,0,0,0
0,774,0,0,0
0,777,0,0,0
0,780,0,0,0
0,783,0,0,0
0,786,0,0,0
0,789,0,0,0
0,792,0,0,0
0,795,0,0,0
0,798,0,0,0
0,801,0,0,0
0,804,0,0,0
0,807,0,0,0
0,810,0,0,0
0,813,0,0,0
0,816,0,0,0
0,819,0,0,0
0,822,0,0,0
0,825,0,0,0
0,828,0,0,0
0,831,0,0,0
0,834,0,0,0
0,837,0,0,0
0,840,0,0,0
0,843,0,0,0
0,846,0,0,0
0,849,0,0,0
0,852,0,0,0
0,855,0,0,0
0,858,0,0,0
0,861,0,0,0
0,864,0,0,0
0,867,0,0,0
0,870,0,0,0
0,873,0,0,0
0,876,0,0,0
0,879,0,0,0
0,882,0,0,0
0,885,0,0,0
0,888,0,0,0
0,891,0,0,0
0,894,0,0,0
0,897,0,0,0
0,900,0,0,0
0,903,0,0,0
0,906,0,0,0
0,909,0,0,0
0,912,0,0,0
0,915,0,0,0
0,918,0,0,0
0,921,0,0,0
0,924,0,0,0
0,927,0,0,0
0,930,0,0,0
0,933,0,0,0
0,936,0,0,0
0,939,0,0,0
0,942,0,0,0
0,945,0,0,0
0,948,0,0,0
0,951,0,0,0
0,954,0,0,0
0,957,0,0,0
0,960,0,0,0
0,963,0,0,0
0,966,0,0,0
0,969,0,0,0
0,972,0,0,0
0,975,0,0,0
0,978,0,0,0
0,981,0,0,0
0,984,0,0,0
0,987,0,0,0
0,990,0,0,0
0,993,0,0,0
0,996,0,0,0
0,999,0,0,0
0,1002,0,0,0
0,1005,0,0,0
0,1008,0,0,0
0,1011,0,0,0
0,1014,0,0,0
0,1017,0,0,0
0,1020,0,0,0
0,1023,0,0,0
0,1026,0,0,0
0,1029,0,0,0
0,1032,0,0,0
0,1035,0,0,0
0,1038,0,0,0
0,1041,0,0,0
0,1044,0,0,0
0,1047,0,0,0
0,1050,0,0,0
0,1053,0,0,0
0,1056,0,0,0
0,1059,0,0,0
0,1062,0,0,0
0,1065,0,0,0
0,1068,0,0,0
0,1071,0,0,0
0,1074,0,0,0
0,1077,0,0,0
0,1080,0,0,0
0,1083,0,0,0
0,1086,0,0,0
0,1089,0,0,0
0,1092,0,0,0
0,1095,0,0,0
0,1098,0,0,0
0,1101,0,0,0
0,1104,0,0,0
0,1107,0,0,0
0,1110,0,0,0
0,1113,0,0,0
0,1116,0,0,0
0,1119,0,0,0
0,1122,0,0,0
0,1125,0,0,0
0,1128,0,0,0
0,1131,0,0,0
0,1134,0,0,0
0,1137,0,0,0
0,1140,0,0,0
0,1143,0,0,0
0,1146,0,0,0
0,1149,0,0,0
0,1152,0,0,0
0,1155,0,0,0
0,1158,0,0,0
0,1161,0,0,0
0,1164,0,0,0
0,1167,0,0,0
0,1170,0,0,0
0,1173,0,0,0
0,1176,0,0,0
0,1179,0,0,0
0,1182,0,0,0
0,1185,0,0,0
0,1188,0,0,0
0,1191,0,0,0
0,1194,0,0,0
0,1197,0,0,0
0,1200,0,0,0
0,1203,0,0,0
0,1206,0,0,0
0,1209,0,0,0
0,1212,0,0,0
0,1215,0,0,0
0,1218,0,0,0
0,1221,0,0,0
0,1224,0,0,0
0,1227,0,0,0
0,1230,0,0,0
0,1233,0,0,0
0,1236,0,0,0
0,1239,0,0,0
0,1242,0,0,0
0,1245,0,0,0
0,1248,0,0,0
0,1251,0,0,0
0,1254,0,0,0
0,1257,0,0,0
0,1260,0,0,0
0,1263,0,0,0
0,1266,0,0,0
0,1269,0,0,0
0,1272,0,0,0
0,1275,0,0,0
0,1278,0,0,0
0,1281,0,0,0
0,1284,0,0,0
0,1287,0,0,0
0,1290,0,0,0
0,1293,0,0,0
0,1296,0,0,0
0,1299,0,0,0
0,1302,0,0,0
0,1305,0,0,0
0,1308,0,0,0
0,1311,0,0,0
0,1314,0,0,0
0,1317,0,0,0
0,1320,0,0,0
0,1323,0,0,0
0,1326,0,0,0
0,1329,0,0,0
0,1332,0,0,0
0,1335,0,0,0
0,1338,0,0,0
0,1341,0,0,0
0,1344,0,0,0
0,1347,0,0,0
0,1350,0,0,0
0,1353,0,0,0
0,1356,0,0,0
0,1359,0,0,0
0,1362,0,0,0
0,1365,0,0,0
0,1368,0,0,0
0,1371,0,0,0
0,1374,0,0,0
0,1377,0,0,0
0,1380,0,0,0
0,1383,0,0,0
0,1386,0,0,0
0,1389,0,0,0
0,1392,0,0,0
0,1395,0,0,0
0,1398,0,0,0
0,1401,0,0,0
0,1404,0,0,0
0,1407,0,0,0
0,1410,0,0,0
0,1413,0,0,0
0,1416,0,0,0
0,1419,0,0,0
0,1422,0,0,0
0,1425,0,0,0
0,1428,0,0,0
0,1431,0,0,0
0,1434,0,0,0
0,1437,0,0,0
0,1440,0,0,0
0,1443,0,0,0
0,1446,0,0,0
0,1449,0,0,0
0,1452,0,0,0
0,1455,0,0,0
0,1458,0,0,0
0,1461,0,0,0
0,1464,0,0,0
0,1467,0,0,0
0,1470,0,0,0
0,1473,0,0,0
0,1476,0,0,0
0,1479,0,0,0
0,1482,0,0,0
0,1485,0,0,0
0,1488,0,0,0
0,1491,0,0,0
0,1494,0,0,0
0,1497,0,0,0
0,1500,0,0,0
0,1503,0.1238165,1.183219,0.02021055
0,1506,1.378026,5.362568,0.06562303
0,1509,4.029218,10.79789,0.1306001
0,1512,7.719775,16.69897,0.209639
0,1515,11.96985,22.28832,0.2960597
0,1518,16.27059,27.01111,0.3838729
0,1521,20.20731,30.60374,0.468488
0,1524,23.51435,33.0296,0.5468072
0,1527,26.07198,34.39831,0.6170613
0,1530,27.87566,34.89643,0.6785388
0,1533,28.99782,34.73478,0.7312902
0,1536,29.55223,34.11533,0.7758583
0,1539,29.66663,33.21107,0.8130608
0,1542,29.46359,32.15884,0.8438288
0,1545,29.04977,31.05895,0.8690997
0,1548,28.51123,29.97976,0.8897529
0,1551,27.91289,28.96354,0.9065744
0,1554,27.30068,28.03314,0.9202461
0,1557,26.70503,27.19764,0.9313463
0,1560,26.14413,26.45695,0.9403577
0,1563,25.62726,25.80557,0.947678
0,1566,25.1576,25.23495,0.9536319
0,1569,24.73437,24.73535,0.9584834
0,1572,24.35441,24.29701,0.9624462
0,1575,24.01339,23.91066,0.9656922
0,1578,23.70654,23.56797,0.9683603
0,1581,23.42909,23.26163,0.970562
0,1584,23.17662,22.98539,0.972387
0,1587,22.94514,22.73395,0.9739074
0,1590,22.73119,22.50291,0.9751813
0,1593,22.53179,22.28863,0.9762555
0,1596,22.34443,22.08811,0.9771677
0,1599,22.16702,21.89891,0.9779482
0,1602,21.99783,21.71905,0.9786217
0,1605,21.83545,21.54689,0.9792079
0,1608,21.6787,21.38114,0.979723
0,1611,21.52665,21.22073,0.98018
0,1614,21.37852,21.06479,0.9805895
0,1617,21.23369,20.91264,0.98096
0,1620,21.09165,20.7637,0.9812984
0,1623,20.952,20.61751,0.9816105
0,1626,20.81438,20.4737,0.9819008
0,1629,20.67854,20.33196,0.9821732
0,1632,20.54425,20.19204,0.9824306
0,1635,20.41133,20.05375,0.9826755
0,1638,20.27964,19.9169,0.98291
0,1641,20.14904,19.78136,0.9831357
0,1644,20.01944,19.64703,0.983354
0,1647,19.89076,19.51379,0.9835659
0,1650,19.76293,19.38158,0.9837724
0,1653,19.63589,19.25034,0.9839742
0,1656,19.5096,19.11999,0.9841719
0,1659,19.38401,18.99051,0.9843659
0,1662,19.25909,18.86184,0.9845567
0,1665,19.13482,18.73396,0.9847447
0,1668,19.01118,18.60684,0.98493
0,1671,18.88813,18.48046,0.9851128
0,1674,18.76567,18.35478,0.9852934
0,1677,18.64378,18.22981,0.9854719
0,1680,18.52245,18.10552,0.9856484
0,1683,18.40166,17.98189,0.985823
0,1686,18.28142,17.85892,0.9859958
0,1689,18.1617,17.7366,0.9861668
0,1692,18.04251,17.61491,0.9863362
0,1695,17.92384,17.49385,0.9865038
0,1698,17.80568,17.37341,0.9866698
0,1701,17.68803,17.25359,0.9868343
0,1704,17.57088,17.13437,0.9869971
0,1707,17.45424,17.01576,0.9871584
0,1710,17.33809,16.89774,0.9873182
0,1713,17.22245,16.78032,0.9874764
0,1716,17.10729,16.66349,0.9876331
0,1719,16.99263,16.54725,0.9877883
0,1722,16.87845,16.43159,0.987942
0,1725,16.76477,16.3165,0.9880943
0,1728,16.65157,16.202,0.988245
0,1731,16.53886,16.08806,0.9883943
0,1734,16.42664,15.9747,0.988542
0,1737,16.3149,15.86191,0.9886884
0,1740,16.20364,15.74968,0.9888332
0,1743,16.09286,15.63802,0.9889767
0,1746,15.98258,15.52691,0.9891187
0,1749,15.87277,15.41637,0.9892592
0,1752,15.76344,15.30639,0.9893983
0,1755,15.6546,15.19696,0.989536
0,1758,15.54624,15.08808,0.9896722
0,1761,15.43836,14.97976,0.9898071
0,1764,15.33096,14.87199,0.9899406
0,1767,15.22404,14.76476,0.9900726
0,1770,15.11761,14.65809,0.9902033
0,1773,15.01166,14.55196,0.9903325
0,1776,14.90619,14.44638,0.9904603
0,1779,14.8012,14.34134,0.9905869
0,1782,14.69669,14.23685,0.990712
0,1785,14.59267,14.1329,0.9908357
0,1788,14.48913,14.02948,0.9909582
0,1791,14.38606,13.92661,0.9910792
0,1794,14.28349,13.82427,0.991199
0,1797,14.18139,13.72247,0.9913174
0,1800,14.07978,13.62121,0.9914345
0,1803,13.97865,13.52048,0.9915502
0,1806,13.87801,13.42029,0.9916646
0,1809,13.77785,13.32062,0.9917778
0,1812,13.67817,13.22149,0.9918897
0,1815,13.57897,13.12289,0.9920003
0,1818,13.48026,13.02482,0.9921097
0,1821,13.38204,12.92728,0.9922177
0,1824,13.28429,12.83026,0.9923245
0,1827,13.18703,12.73378,0.9924302
0,1830,13.09026,12.63781,0.9925345
0,1833,12.99397,12.54237,0.9926376
0,1836,12.89816,12.44746,0.9927395
0,1839,12.80284,12.35307,0.9928402
0,1842,12.70801,12.2592,0.9929397
0,1845,12.61366,12.16585,0.993038
0,1848,12.51979,12.07302,0.9931351
0,1851,12.4264,11.98071,0.9932311
0,1854,12.33351,11.88892,0.9933259
0,1857,12.24109,11.79765,0.9934195
0,1860,12.14916,11.70689,0.993512
0,1863,12.05771,11.61665,0.9936035
0,1866,11.96675,11.52692,0.9936937
0,1869,11.87627,11.4377,0.9937829
0,1872,11.78628,11.349,0.9938709
0,1875,11.69677,11.26081,0.9939579
0,1878,11.60774,11.17312,0.9940438
0,1881,11.5192,11.08595,0.9941286
0,1884,11.43113,10.99928,0.9942123
0,1887,11.34355,10.91313,0.994295
0,1890,11.25646,10.82748,0.9943767
0,1893,11.16984,10.74233,0.9944573
0,1896,11.08371,10.65769,0.9945369
0,1899,10.99805,10.57355,0.9946155
0,1902,10.91288,10.48991,0.994693
0,1905,10.82819,10.40677,0.9947696
0,1908,10.74397,10.32413,0.9948452
0,1911,10.66024,10.242,0.9949199
0,1914,10.57699,10.16035,0.9949935
0,1917,10.49421,10.07921,0.9950662
0,1920,10.41191,9.99856,0.995138
0,1923,10.33009,9.918405,0.9952089
0,1926,10.24874,9.838741,0.9952787
0,1929,10.16788,9.75957,0.9953477
0,1932,10.08748,9.68089,0.9954158
0,1935,10.00756,9.602698,0.995483
0,1938,9.928117,9.524995,0.9955493
0,1941,9.849145,9.447779,0.9956147
0,1944,9.770645,9.371048,0.9956792
0,1947,9.692617,9.294801,0.9957429
0,1950,9.615061,9.219038,0.9958057
0,1953,9.537973,9.143756,0.9958677
0,1956,9.461356,9.068954,0.9959289
0,1959,9.385206,8.994633,0.9959892
0,1962,9.309525,8.920788,0.9960487
0,1965,9.234309,8.84742,0.9961075
0,1968,9.15956,8.774528,0.9961653
0,1971,9.085276,8.702108,0.9962225
0,1974,9.011455,8.630161,0.9962788
0,1977,8.938096,8.558685,0.9963344
0,1980,8.8652,8.487679,0.9963892
0,1983,8.792765,8.417141,0.9964433
0,1986,8.720788,8.34707,0.9964966
0,1989,8.649271,8.277463,0.9965491
0,1992,8.578211,8.208321,0.996601
0,1995,8.507607,8.13964,0.9966521
0,1998,8.43746,8.071421,0.9967026
0,2001,8.367765,8.00366,0.9967523
0,2004,8.298525,7.936358,0.9968013
0,2007,8.229735,7.869511,0.9968497
0,2010,8.161397,7.80312,0.9968973
0,2013,8.093507,7.737181,0.9969443
0,2016,8.026066,7.671694,0.9969906
0,2019,7.959071,7.606657,0.9970363
0,2022,7.892522,7.542068,0.9970813
0,2025,7.826416,7.477925,0.9971257
0,2028,7.760754,7.414228,0.9971695
0,2031,7.695533,7.350974,0.9972126
0,2034,7.630753,7.288162,0.9972551
0,2037,7.566411,7.225791,0.997297
0,2040,7.502506,7.163857,0.9973384
0,2043,7.439037,7.102361,0.9973791
0,2046,7.376002,7.041299,0.9974192
0,2049,7.313401,6.980671,0.9974588
0,2052,7.251231,6.920475,0.9974978
0,2055,7.189491,6.860708,0.9975362
0,2058,7.12818,6.80137,0.9975741
0,2061,7.067296,6.742458,0.9976114
0,2064,7.006837,6.68397,0.9976482
0,2067,6.946802,6.625906,0.9976844
0,2070,6.88719,6.568263,0.9977201
0,2073,6.827998,6.511039,0.9977553
0,2076,6.769226,6.454233,0.99779
0,2079,6.710871,6.397842,0.9978242
0,2082,6.652932,6.341866,0.9978579
0,2085,6.595408,6.286301,0.997891
0,2088,6.538296,6.231147,0.9979237
0,2091,6.481596,6.176401,0.9979559
0,2094,6.425305,6.122061,0.9979876
0,2097,6.369421,6.068127,0.9980189
0,2100,6.313944,6.014595,0.9980497
0,2103,6.258872,5.961464,0.99808
0,2106,6.204201,5.908732,0.9981099
0,2109,6.149932,5.856397,0.9981393
0,2112,6.096062,5.804458,0.9981683
0,2115,6.042589,5.752912,0.9981969
0,2118,5.989512,5.701757,0.998225
0,2121,5.936829,5.650992,0.9982527
0,2124,5.884538,5.600615,0.99828
0,2127,5.832637,5.550623,0.9983069
0,2130,5.781125,5.501015,0.9983334
0,2133,5.73,5.451789,0.9983594
0,2136,5.679259,5.402943,0.9983851
0,2139,5.628902,5.354474,0.9984104
0,2142,5.578927,5.306382,0.9984353
0,2145,5.52933,5.258664,0.9984599
0,2148,5.480112,5.211317,0.998484
0,2151,5.431269,5.164341,0.9985078
0,2154,5.3828,5.117733,0.9985312
0,2157,5.334702,5.071491,0.9985543
0,2160,5.286976,5.025613,0.998577
0,2163,5.239617,4.980098,0.9985994
0,2166,5.192626,4.934942,0.9986214
0,2169,5.145998,4.890145,0.9986431
0,2172,5.099733,4.845704,0.9986644
0,2175,5.05383,4.801617,0.9986855
0,2178,5.008285,4.757883,0.9987062
0,2181,4.963097,4.714499,0.9987265
0,2184,4.918263,4.671462,0.9987466
0,2187,4.873784,4.628773,0.9987664
0,2190,4.829655,4.586427,0.9987858
0,2193,4.785876,4.544424,0.9988049
0,2196,4.742444,4.50276,0.9988238
0,2199,4.699358,4.461436,0.9988424
0,2202,4.656615,4.420447,0.9988606
0,2205,4.614214,4.379793,0.9988786
0,2208,4.572153,4.339471,0.9988963
0,2211,4.530429,4.299479,0.9989137
0,2214,4.489041,4.259816,0.9989309
0,2217,4.447987,4.220479,0.9989477
0,2220,4.407265,4.181465,0.9989644
0,2223,4.366873,4.142775,0.9989807
0,2226,4.326809,4.104404,0.9989968
0,2229,4.287071,4.066352,0.9990126
0,2232,4.247657,4.028616,0.9990282
0,2235,4.208566,3.991194,0.9990436
0,2238,4.169795,3.954085,0.9990587
0,2241,4.131342,3.917285,0.9990735
0,2244,4.093205,3.880795,0.9990882
0,2247,4.055383,3.84461,0.9991025
0,2250,4.017874,3.80873,0.9991167
0,2253,3.980675,3.773152,0.9991306
0,2256,3.943785,3.737875,0.9991444
0,2259,3.907202,3.702896,0.9991578
0,2262,3.870923,3.668213,0.9991711
0,2265,3.834947,3.633826,0.9991842
0,2268,3.799272,3.59973,0.9991971
0,2271,3.763896,3.565925,0.9992097
0,2274,3.728817,3.532409,0.9992222
0,2277,3.694034,3.49918,0.9992344
0,2280,3.659544,3.466235,0.9992465
0,2283,3.625344,3.433573,0.9992583
0,2286,3.591435,3.401192,0.99927
0,2289,3.557812,3.36909,0.9992815
0,2292,3.524476,3.337265,0.9992927
0,2295,3.491423,3.305714,0.9993039
0,2298,3.458651,3.274437,0.9993148
0,2301,3.42616,3.243432,0.9993256
0,2304,3.393947,3.212696,0.9993361
0,2307,3.362009,3.182227,0.9993466
0,2310,3.330346,3.152024,0.9993567
0,2313,3.298955,3.122084,0.9993668
0,2316,3.267835,3.092407,0.9993768
0,2319,3.236984,3.062989,0.9993865
0,2322,3.206398,3.033829,0.9993961
0,2325,3.176078,3.004926,0.9994055
0,2328,3.146021,2.976277,0.9994148
0,2331,3.116225,2.94788,0.9994239
0,2334,3.086689,2.919734,0.9994329
0,2337,3.057409,2.891837,0.9994417
0,2340,3.028386,2.864187,0.9994504
0,2343,2.999616,2.836782,0.999459
0,2346,2.971098,2.809621,0.9994674
0,2349,2.942831,2.782701,0.9994756
0,2352,2.914812,2.756021,0.9994838
0,2355,2.887039,2.729578,0.9994918
0,2358,2.859511,2.703372,0.9994996
0,2361,2.832226,2.6774,0.9995073
0,2364,2.805182,2.651661,0.9995149
0,2367,2.778378,2.626153,0.9995224
0,2370,2.751812,2.600874,0.9995297
0,2373,2.725481,2.575822,0.999537
0,2376,2.699384,2.550996,0.9995441
0,2379,2.67352,2.526393,0.9995511
0,2382,2.647887,2.502013,0.999558
0,2385,2.622482,2.477853,0.9995647
0,2388,2.597304,2.453912,0.9995714
0,2391,2.572352,2.430188,0.9995779
0,2394,2.547624,2.406679,0.9995843
0,2397,2.523118,2.383384,0.9995906
0,2400,2.498832,2.360301,0.9995969
0,2403,2.474765,2.337428,0.999603
0,2406,2.450914,2.314764,0.999609
0,2409,2.427279,2.292307,0.9996149
0,2412,2.403858,2.270055,0.9996207
0,2415,2.380649,2.248007,0.9996265
0,2418,2.35765,2.226161,0.9996321
0,2421,2.334859,2.204515,0.9996375
0,2424,2.312276,2.183069,0.999643
0,2427,2.289898,2.161819,0.9996483
0,2430,2.267724,2.140765,0.9996536
0,2433,2.245752,2.119905,0.9996588
0,2436,2.22398,2.099238,0.9996638
0,2439,2.202408,2.078762,0.9996688
0,2442,2.181033,2.058475,0.9996737
0,2445,2.159854,2.038376,0.9996786
0,2448,2.138869,2.018463,0.9996833
0,2451,2.118077,1.998735,0.9996879
0,2454,2.097476,1.97919,0.9996925
0,2457,2.077064,1.959827,0.999697
0,2460,2.056841,1.940644,0.9997014
0,2463,2.036804,1.92164,0.9997058
0,2466,2.016952,1.902813,0.99971
0,2469,1.997284,1.884162,0.9997143
0,2472,1.977797,1.865685,0.9997184
0,2475,1.958491,1.847381,0.9997224
0,2478,1.939365,1.829249,0.9997264
0,2481,1.920415,1.811286,0.9997303
0,2484,1.901642,1.793492,0.9997342
0,2487,1.883044,1.775865,0.999738
0,2490,1.864618,1.758404,0.9997417
0,2493,1.846365,1.741107,0.9997454
0,2496,1.828282,1.723973,0.999749
0,2499,1.810367,1.707,0.9997525
0,2502,1.79262,1.690188,0.999756
0,2505,1.77504,1.673534,0.9997594
0,2508,1.757623,1.657038,0.9997628
0,2511,1.740371,1.640697,0.9997661
0,2514,1.72328,1.624512,0.9997693
0,2517,1.706349,1.60848,0.9997725
0,2520,1.689578,1.5926,0.9997756
0,2523,1.672965,1.57687,0.9997787
0,2526,1.656508,1.56129,0.9997818
0,2529,1.640206,1.545859,0.9997847
0,2532,1.624058,1.530573,0.9997876
0,2535,1.608063,1.515434,0.9997905
0,2538,1.592218,1.500439,0.9997934
0,2541,1.576524,1.485587,0.9997962
0,2544,1.560978,1.470876,0.9997988
0,2547,1.54558,1.456307,0.9998015
0,2550,1.530327,1.441876,0.9998041
0,2553,1.51522,1.427584,0.9998068
0,2556,1.500256,1.413428,0.9998093
0,2559,1.485434,1.399408,0.9998118
0,2562,1.470753,1.385523,0.9998143
0,2565,1.456212,1.371771,0.9998167
0,2568,1.44181,1.358151,0.999819
0,2571,1.427545,1.344661,0.9998214
0,2574,1.413416,1.331302,0.9998236
0,2577,1.399423,1.318071,0.9998259
0,2580,1.385563,1.304968,0.9998281
0,2583,1.371835,1.29199,0.9998302
0,2586,1.358239,1.279138,0.9998324
0,2589,1.344773,1.26641,0.9998345
0,2592,1.331437,1.253805,0.9998366
0,2595,1.318228,1.241322,0.9998386
0,2598,1.305146,1.22896,0.9998406
0,2601,1.29219,1.216717,0.9998425
0,2604,1.279359,1.204592,0.9998444
0,2607,1.266651,1.192586,0.9998463
0,2610,1.254065,1.180695,0.9998482
0,2613,1.241601,1.16892,0.99985
0,2616,1.229257,1.157259,0.9998518
0,2619,1.217032,1.145712,0.9998536
0,2622,1.204925,1.134277,0.9998552
0,2625,1.192935,1.122952,0.9998569
0,2628,1.18106,1.111739,0.9998586
0,2631,1.169301,1.100634,0.9998602
0,2634,1.157656,1.089638,0.9998618
0,2637,1.146123,1.078748,0.9998634
0,2640,1.134702,1.067965,0.999865
0,2643,1.123392,1.057287,0.9998665
0,2646,1.112192,1.046714,0.999868
0,2649,1.101101,1.036243,0.9998695
0,2652,1.090117,1.025875,0.9998709
0,2655,1.07924,1.015609,0.9998723
0,2658,1.068469,1.005443,0.9998737
0,2661,1.057802,0.9953765,0.9998751
0,2664,1.04724,0.9854086,0.9998764
0,2667,1.03678,0.9755384,0.9998778
0,2670,1.026423,0.965765,0.9998791
0,2673,1.016166,0.9560875,0.9998803
0,2676,1.00601,0.9465051,0.9998816
0,2679,0.9959528,0.9370167,0.9998828
0,2682,0.9859939,0.9276216,0.999884
0,2685,0.9761323,0.9183188,0.9998852
0,2688,0.9663673,0.9091076,0.9998863
0,2691,0.9566978,0.899987,0.9998875
0,2694,0.947123,0.8909562,0.9998886
0,2697,0.937642,0.8820143,0.9998897
0,2700,0.928254,0.8731606,0.9998908
0,2703,0.918958,0.8643942,0.9998919
0,2706,0.9097533,0.8557143,0.9998929
0,2709,0.9006389,0.8471199,0.999894
0,2712,0.891614,0.8386105,0.999895
0,2715,0.8826779,0.8301851,0.9998959
0,2718,0.8738295,0.821843,0.9998969
0,2721,0.8650682,0.8135833,0.9998979
0,2724,0.8563932,0.8054053,0.9998988
